year,tmID,rank,playoff,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,GP_x,homeW,homeL,awayW,awayL,confW,confL,min,attend,num_playoff_appearances,total_first_round_won,total_first_round_lost,total_semis_won,total_semis_lost,total_finals_won,total_finals_lost,mean_won,mean_lost,confID_EA,confID_WE,GP_y,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostthreeAttempted,PostthreeMade,PostDQ,height,weight,award_count,won,lost,post_wins,post_losses
2,HOU,2.0,1,891.0,1894.0,521.0,634.0,172.0,491.0,273.0,724.0,997.0,494.0,554.0,284.0,440.0,104.0,2475.0,786.0,1938.0,370.0,508.0,124.0,418.0,290.0,612.0,902.0,473.0,648.0,233.0,480.0,85.0,2066.0,32.0,14.0,2.0,13.0,3.0,17.0,4.0,6475.0,196077.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,27.0,5.0,0.0,1.0,180.0,94.0,507.4285714285714,1139.0,202.0,432.0,634.0,159.0,133.0,55.0,208.0,344.0,883.0,415.0,294.0,237.0,211.0,72.0,31.0,18.0,758.0,178.0,48.0,84.0,132.0,29.0,27.0,12.0,43.0,61.0,153.0,67.0,33.0,30.0,37.0,14.0,0.0,72.42857142857143,172.57142857142858,0.0,27.0,5.0,6.0,0.0
2,LAS,1.0,1,861.0,1956.0,545.0,693.0,150.0,452.0,308.0,783.0,1091.0,586.0,705.0,271.0,466.0,156.0,2417.0,776.0,1963.0,495.0,692.0,122.0,413.0,300.0,678.0,978.0,445.0,650.0,243.0,485.0,105.0,2169.0,32.0,15.0,1.0,13.0,3.0,17.0,4.0,6450.0,105005.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,28.0,4.0,0.0,1.0,271.0,189.0,742.6666666666666,2583.0,343.0,878.0,1221.0,611.0,286.0,172.0,480.0,756.0,2084.0,944.0,712.0,558.0,389.0,137.0,29.0,20.0,712.0,278.0,40.0,83.0,123.0,70.0,21.0,11.0,54.0,66.0,224.0,101.0,60.0,49.0,61.0,27.0,1.0,71.66666666666667,165.66666666666666,0.0,28.0,4.0,2.0,2.0
2,MIN,6.0,0,770.0,1831.0,449.0,592.0,204.0,571.0,258.0,612.0,870.0,495.0,690.0,237.0,497.0,63.0,2193.0,755.0,1758.0,514.0,702.0,164.0,481.0,300.0,677.0,977.0,472.0,707.0,275.0,547.0,130.0,2188.0,32.0,8.0,8.0,7.0,9.0,5.0,16.0,6425.0,116638.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,17.0,0.0,1.0,203.0,90.0,545.5714285714286,1593.0,153.0,332.0,485.0,283.0,147.0,48.0,307.0,431.0,1326.0,556.0,404.0,313.0,450.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.28571428571429,173.42857142857142,0.0,15.0,17.0,0.0,0.0
2,PHO,4.0,0,803.0,1800.0,513.0,661.0,124.0,394.0,275.0,619.0,894.0,465.0,630.0,285.0,429.0,91.0,2243.0,773.0,1828.0,421.0,574.0,135.0,416.0,334.0,635.0,969.0,486.0,699.0,224.0,531.0,91.0,2102.0,32.0,11.0,5.0,9.0,7.0,11.0,10.0,6425.0,161075.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,12.0,0.0,1.0,262.0,136.0,510.27272727272725,1978.0,227.0,530.0,757.0,406.0,256.0,85.0,384.0,526.0,1652.0,718.0,540.0,423.0,383.0,119.0,14.0,8.0,342.0,125.0,10.0,27.0,37.0,32.0,9.0,8.0,19.0,40.0,103.0,48.0,28.0,19.0,35.0,10.0,0.0,71.45454545454545,159.54545454545453,0.0,0.0,0.0,0.0,0.0
2,POR,7.0,0,761.0,1828.0,488.0,697.0,145.0,433.0,309.0,627.0,936.0,480.0,761.0,265.0,593.0,93.0,2155.0,788.0,1847.0,577.0,766.0,150.0,447.0,307.0,646.0,953.0,487.0,729.0,277.0,531.0,130.0,2303.0,32.0,6.0,10.0,4.0,12.0,4.0,17.0,6525.0,133076.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,22.0,0.0,1.0,259.0,178.0,692.2222222222222,2073.0,299.0,633.0,932.0,450.0,244.0,94.0,490.0,667.0,1732.0,733.0,666.0,485.0,380.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.88888888888889,165.66666666666666,0.0,10.0,22.0,0.0,0.0
2,SAC,3.0,1,876.0,1993.0,449.0,650.0,142.0,459.0,388.0,650.0,1038.0,567.0,571.0,332.0,458.0,157.0,2343.0,811.0,1918.0,410.0,544.0,144.0,418.0,320.0,631.0,951.0,503.0,600.0,226.0,524.0,116.0,2176.0,32.0,13.0,3.0,8.0,8.0,13.0,8.0,6400.0,126841.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,11.0,0.0,1.0,303.0,206.0,636.1818181818181,2685.0,388.0,691.0,1079.0,611.0,328.0,201.0,517.0,610.0,2263.0,1006.0,755.0,536.0,452.0,137.0,17.0,10.0,377.0,137.0,17.0,41.0,58.0,30.0,14.0,2.0,19.0,33.0,117.0,49.0,34.0,28.0,30.0,11.0,1.0,71.36363636363636,159.9090909090909,0.0,21.0,11.0,0.0,2.0
2,SEA,8.0,0,667.0,1740.0,379.0,561.0,109.0,364.0,256.0,537.0,793.0,390.0,648.0,255.0,525.0,93.0,1822.0,778.0,1721.0,498.0,654.0,117.0,334.0,288.0,721.0,1009.0,506.0,618.0,284.0,529.0,123.0,2171.0,32.0,4.0,12.0,2.0,14.0,4.0,17.0,6475.0,142594.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,26.0,0.0,1.0,271.5,99.5,467.1818181818182,1424.5,191.5,450.5,642.0,348.5,212.0,82.5,427.0,563.0,1327.5,516.5,463.5,293.5,312.5,98.0,2.0,0.0,10.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,73.18181818181819,165.63636363636363,0.0,6.0,26.0,0.0,0.0
2,UTA,5.0,1,858.0,1896.0,609.0,790.0,88.0,262.0,348.0,732.0,1080.0,522.0,698.0,214.0,544.0,157.0,2413.0,860.0,1964.0,531.0,721.0,156.0,448.0,313.0,598.0,911.0,503.0,702.0,301.0,437.0,112.0,2407.0,32.0,12.0,4.0,6.0,10.0,13.0,8.0,6400.0,103442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,14.0,0.0,1.0,251.0,170.0,680.2222222222222,2285.0,343.0,751.0,1094.0,490.0,213.0,150.0,508.0,677.0,1835.0,829.0,739.0,562.0,192.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,172.0,0.0,18.0,14.0,0.0,0.0
3,HOU,3.0,1,819.0,1901.0,468.0,586.5,155.0,463.0,310.5,717.0,1027.5,460.0,531.5,267.5,438.0,99.5,2261.0,763.0,1910.5,366.0,506.0,138.0,437.0,293.5,648.5,942.0,462.5,604.5,240.5,456.5,102.5,2030.0,32.0,12.5,3.5,10.5,5.5,15.0,6.0,6462.5,188596.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,23.0,9.0,0.0,1.0,370.5,227.0,656.4615384615385,2856.5,364.5,908.5,1273.0,638.5,420.5,129.5,568.5,688.5,2418.5,1035.5,728.0,562.5,644.0,223.0,31.5,20.0,820.5,268.0,41.0,95.5,136.5,45.5,34.0,11.0,48.0,59.0,229.5,100.0,57.5,47.0,58.0,21.0,0.0,70.92307692307692,160.76923076923077,2.0,23.0,9.0,3.0,1.0
3,LAS,1.0,1,888.5,1993.5,497.0,643.5,155.0,444.0,329.0,769.0,1098.0,591.0,660.5,276.0,452.0,147.0,2429.0,777.5,1974.0,455.5,619.5,157.0,508.0,297.0,652.5,949.5,491.5,620.5,238.5,469.0,109.5,2167.5,32.0,15.5,0.5,12.5,3.5,18.0,3.0,6462.5,126725.5,2.0,2.0,0.0,1.0,1.0,1.0,0.0,28.0,4.0,0.0,1.0,296.1666666666667,186.83333333333331,635.3939393939394,2727.6666666666665,386.5,855.5,1242.0,530.8333333333334,283.3333333333333,164.83333333333334,492.8333333333333,731.0,2293.0,994.3333333333334,751.1666666666666,574.8333333333334,481.3333333333333,164.16666666666669,37.5,22.33333333333333,886.0,361.0,51.66666666666666,119.83333333333331,171.5,74.33333333333333,31.0,32.33333333333333,60.16666666666667,79.33333333333333,294.5,137.33333333333334,84.33333333333333,63.0,61.66666666666667,23.33333333333333,0.5,72.45454545454545,168.36363636363637,3.0,28.0,4.0,4.0,1.5
