year,tmID,W,L
1,HOU,0.0,0.0
1,ORL,0.0,0.0
1,CLE,0.0,0.0
1,WAS,0.0,0.0
1,NYL,0.0,0.0
1,PHO,0.0,0.0
1,LAS,0.0,0.0
1,SAC,0.0,0.0
2,CLE,3.0,3.0
2,CHA,0.0,0.0
2,MIA,0.0,0.0
2,NYL,4.0,3.0
2,HOU,6.0,0.0
2,LAS,2.0,2.0
2,UTA,0.0,0.0
2,SAC,0.0,2.0
3,WAS,0.0,2.0
3,SEA,0.0,0.0
3,LAS,4.0,1.5
3,HOU,3.0,1.0
3,UTA,0.0,2.0
3,IND,0.0,0.0
3,NYL,3.5,3.0
3,CHA,4.0,4.0
4,SAC,3.0,2.0
4,CLE,1.0,2.0
4,DET,0.0,0.0
4,CHA,2.0,3.0
4,CON,0.0,0.0
4,MIN,0.0,0.0
4,LAS,6.0,0.5
4,HOU,0.5,2.0
5,WAS,3.0,2.0
5,CON,2.0,2.0
5,DET,6.0,2.0
5,NYL,4.0,4.0
5,MIN,1.0,2.0
5,SEA,0.0,2.0
5,LAS,5.5,2.0
5,SAC,3.0,3.0
6,CON,3.5,2.5
6,NYL,2.0,3.0
6,IND,0.0,0.0
6,SEA,6.0,2.0
6,HOU,1.0,2.0
6,LAS,3.0,3.0
6,SAC,3.0,3.0
6,DET,3.5,2.0
7,LAS,0.5,2.0
7,HOU,2.0,3.0
7,SAC,5.0,2.0
7,IND,2.0,2.0
7,DET,0.5,2.0
7,WAS,1.0,2.0
7,CON,5.0,3.0
7,SEA,3.5,2.0
8,NYL,0.0,2.0
8,DET,3.5,2.5
8,CON,4.0,2.5
8,IND,1.0,2.0
8,SEA,1.0,2.0
8,PHO,0.0,0.0
8,SAC,6.5,2.0
8,SAS,0.0,0.0
9,SAS,2.0,3.0
9,SEA,0.5,2.0
9,LAS,2.0,3.0
9,IND,1.5,2.5
9,DET,6.5,4.0
9,CON,2.0,2.0
9,NYL,1.0,2.0
9,SAC,3.5,2.5
10,IND,2.0,2.5
10,ATL,0.0,0.0
10,DET,6.5,3.5
10,SAS,3.0,4.0
10,PHO,7.0,2.0
10,SEA,0.5,2.0
10,LAS,3.0,3.0
10,WAS,0.0,0.0
