year,tmID,rank,playoff,num_playoff_appearances,total_first_round_won,total_first_round_lost,total_semis_won,total_semis_lost,total_finals_won,total_finals_lost,mean_won,mean_lost,confID_EA,confID_WE
1,CHA,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,CLE,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,DET,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,HOU,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,IND,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,LAS,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,MIA,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,MIN,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,NYL,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,ORL,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,PHO,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,POR,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,SAC,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,SEA,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,UTA,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,WAS,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,CHA,8.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,24.0,1.0,0.0
2,CLE,2.0,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,17.0,15.0,1.0,0.0
2,DET,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,18.0,1.0,0.0
2,HOU,2.0,1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,27.0,5.0,0.0,1.0
2,IND,7.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,23.0,1.0,0.0
2,LAS,1.0,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,28.0,4.0,0.0,1.0
2,MIA,6.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,19.0,1.0,0.0
2,MIN,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,17.0,0.0,1.0
2,NYL,1.0,1,1.0,1.0,0.0,1.0,0.0,0.0,1.0,20.0,12.0,1.0,0.0
2,ORL,3.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,16.0,1.0,0.0
2,PHO,4.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,12.0,0.0,1.0
2,POR,7.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,22.0,0.0,1.0
2,SAC,3.0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,11.0,0.0,1.0
2,SEA,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,26.0,0.0,1.0
2,UTA,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,14.0,0.0,1.0
2,WAS,4.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,18.0,1.0,0.0
3,CHA,6.0,1,1.0,1.0,0.0,1.0,0.0,0.0,1.0,13.0,19.0,1.0,0.0
3,CLE,1.5,0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,19.5,12.5,1.0,0.0
3,DET,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,20.0,1.0,0.0
3,HOU,3.0,1,2.0,1.0,1.0,1.0,0.0,1.0,0.0,23.0,9.0,0.0,1.0
3,IND,6.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,22.5,1.0,0.0
3,LAS,1.0,1,2.0,2.0,0.0,1.0,1.0,1.0,0.0,28.0,4.0,0.0,1.0
3,MIA,4.5,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,16.5,15.5,1.0,0.0
3,MIN,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,18.5,0.0,1.0
