awayW,total_first_round_won,total_semis_won,total_wins,total_losses,PostGS,PostMinutes,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostftAttempted,PostftMade,post_wins,W,L,playoff,year
3.0,0.0,0.0,0.0,0.0,4.0,182.0,12.0,19.0,31.0,13.0,7.0,2.0,12.0,26.0,16.0,10.0,0.0,0.0,0.0,1,2
4.0,1.0,0.0,2.0,1.0,24.0,1058.0,69.0,123.0,192.0,72.0,47.0,12.0,65.0,86.0,87.0,61.0,3.0,3.0,3.0,1,2
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2
13.0,1.0,1.0,6.0,0.0,18.0,758.0,48.0,84.0,132.0,29.0,27.0,12.0,43.0,61.0,33.0,30.0,6.0,6.0,0.0,1,2
4.0,0.0,0.0,0.0,0.0,1.0,69.0,5.0,10.0,15.0,4.0,0.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0,2
13.0,1.0,0.0,2.0,0.0,20.0,712.0,40.0,83.0,123.0,70.0,21.0,11.0,54.0,66.0,60.0,49.0,2.0,2.0,2.0,1,2
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2
8.0,1.0,1.0,4.0,0.0,35.0,1395.0,60.0,131.0,191.0,110.0,67.0,25.0,96.0,125.0,100.0,81.0,4.0,4.0,3.0,1,2
5.0,0.0,0.0,0.0,0.0,12.0,462.0,18.0,49.0,67.0,28.0,16.0,12.0,30.0,42.0,24.0,16.0,1.0,0.0,0.0,0,2
9.0,0.0,0.0,0.0,0.0,8.0,342.0,10.0,27.0,37.0,32.0,9.0,8.0,19.0,40.0,28.0,19.0,0.0,0.0,0.0,0,2
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2
8.0,0.0,0.0,0.0,0.0,10.0,377.0,17.0,41.0,58.0,30.0,14.0,2.0,19.0,33.0,34.0,28.0,0.0,0.0,2.0,1,2
2.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2
7.0,0.0,0.0,0.0,0.0,8.0,357.0,12.0,27.0,39.0,25.0,12.0,6.0,27.0,29.0,30.0,20.0,0.0,0.0,0.0,0,2
5.0,1.0,1.0,4.0,0.0,25.666666666666664,859.5,36.83333333333333,79.5,116.33333333333331,60.66666666666667,25.0,20.0,56.33333333333333,85.83333333333333,53.66666666666666,40.0,2.0,4.0,4.0,1,3
