year,rank,o_fta,o_stl,o_to,d_3pa,d_pf,d_to,GP_x,awayW,awayL,confW,confL,min,num_playoff_appearances,total_first_round_won,total_semis_won,total_finals_won,total_finals_lost,mean_won,confID_WE,total_wins,total_losses,oRebounds,dRebounds,assists,steals,turnovers,W,L,playoff,year,tmID,confID_EA,confID_WE
2,8.0,577.0,222.0,496.0,423.0,596.0,426.0,32.0,3.0,13.0,5.0,16.0,6475.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,231.0,506.0,583.0,229.0,434.0,0.0,0.0,1,2,CHA,1.0,0.0
2,2.0,570.0,259.0,538.0,368.0,693.0,552.0,32.0,4.0,12.0,13.0,8.0,6500.0,1.0,1.0,0.0,0.0,0.0,17.0,0.0,2.0,1.0,400.0,726.0,538.0,308.0,553.0,3.0,3.0,1,2,CLE,1.0,0.0
2,5.0,699.0,260.0,530.0,372.0,672.0,543.0,32.0,6.0,10.0,10.0,11.0,6425.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,264.0,477.0,376.0,182.0,385.0,0.0,0.0,0,2,DET,1.0,0.0
2,2.0,634.0,284.0,440.0,418.0,648.0,480.0,32.0,13.0,3.0,17.0,4.0,6475.0,1.0,1.0,1.0,1.0,0.0,27.0,1.0,6.0,0.0,250.0,516.0,188.0,160.0,251.0,6.0,0.0,1,2,HOU,0.0,1.0
2,7.0,569.0,271.0,518.0,358.0,612.0,476.0,32.0,4.0,12.0,7.0,14.0,6425.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,287.0,635.0,449.0,277.0,451.0,0.0,0.0,0,2,IND,1.0,0.0
2,1.0,693.0,271.0,466.0,413.0,650.0,485.0,32.0,13.0,3.0,17.0,4.0,6450.0,1.0,1.0,0.0,0.0,0.0,28.0,1.0,2.0,0.0,383.0,961.0,681.0,307.0,534.0,2.0,2.0,1,2,LAS,0.0,1.0
2,6.0,664.0,272.0,524.0,315.0,661.0,528.0,32.0,4.0,12.0,9.0,12.0,6475.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,293.5,495.5,349.0,217.5,371.0,0.0,0.0,1,2,MIA,1.0,0.0
2,6.0,592.0,237.0,497.0,481.0,707.0,547.0,32.0,7.0,9.0,5.0,16.0,6425.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,153.0,332.0,283.0,147.0,307.0,0.0,0.0,0,2,MIN,0.0,1.0
2,1.0,567.0,246.0,474.0,420.0,645.0,479.0,32.0,8.0,8.0,14.0,7.0,6425.0,1.0,1.0,1.0,0.0,1.0,20.0,0.0,4.0,0.0,372.0,833.0,742.0,337.0,627.0,4.0,3.0,1,2,NYL,1.0,0.0
2,3.0,546.0,255.0,486.0,450.0,637.0,500.0,32.0,5.0,11.0,13.0,8.0,6500.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,298.0,582.0,432.0,234.0,423.0,0.0,0.0,0,2,ORL,1.0,0.0
2,4.0,661.0,285.0,429.0,416.0,699.0,531.0,32.0,9.0,7.0,11.0,10.0,6425.0,1.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,237.0,557.0,438.0,265.0,403.0,0.0,0.0,0,2,PHO,0.0,1.0
2,7.0,697.0,265.0,593.0,447.0,729.0,531.0,32.0,4.0,12.0,4.0,17.0,6525.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,299.0,633.0,450.0,244.0,490.0,0.0,0.0,0,2,POR,0.0,1.0
